epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1711.29,2.00667,3.57725,2.59694,1.60133,0.64408,0.54495,0.61328,0.38095,0.20471,0.23732,0.13508,0.02747,1.46036,3.52479,2.41992,1.24938,0.000649573,0.000649573,0.000649573
2,2140.06,1.91654,3.28514,1.51354,1.45735,0.69329,0.60302,0.67291,0.33979,0.26498,0.2946,0.14269,0.03078,1.87047,3.86389,1.39449,1.51588,0.00128366,0.00128366,0.00128366
3,2598.67,1.96805,3.27657,1.41224,1.47147,0.73571,0.8347,0.84371,0.52465,0.36954,0.44681,0.201,0.04854,1.37256,2.44832,1.13838,1.22506,0.00188475,0.00188475,0.00188475
4,2937.28,1.8764,3.15092,1.3253,1.43605,0.46701,0.40426,0.3914,0.18869,0.09496,0.06547,0.0291,0.00554,2.20154,3.54183,1.68527,1.75571,0.0018515,0.0018515,0.0018515
5,3289.24,1.80725,3.08926,1.24121,1.40616,0.00503,0.13093,0.00285,0.00121,0.00126,0.03273,0.00065,0.00013,3.49824,18.8127,inf,3.59434,0.001802,0.001802,0.001802
6,3650.89,1.80372,3.03699,1.24961,1.41597,0.57674,0.4438,0.48374,0.19855,0.34739,0.28642,0.2178,0.04452,2.46572,2.4166,1.58958,1.96532,0.0017525,0.0017525,0.0017525
7,5817.08,1.79301,3.03262,1.22405,1.38222,0.76017,0.67439,0.79063,0.46932,0.63697,0.52864,0.54607,0.15782,1.45386,2.08651,1.0677,1.36507,0.001703,0.001703,0.001703
8,7084.41,1.72458,2.87076,1.14678,1.34125,0.70471,0.80071,0.83176,0.48306,0.5984,0.67103,0.61107,0.17496,1.47024,1.99012,1.20248,1.28137,0.0016535,0.0016535,0.0016535
9,7548.79,1.74512,2.9054,1.154,1.35605,0.71741,0.74959,0.80159,0.45053,0.58621,0.60284,0.53549,0.12658,1.48587,2.48088,1.17378,1.25903,0.001604,0.001604,0.001604
10,7986.37,1.67857,2.83328,1.14461,1.32315,0.52395,0.6557,0.6175,0.31043,0.43172,0.40262,0.34737,0.07818,1.89418,2.82678,1.41551,1.61654,0.0015545,0.0015545,0.0015545
11,8430.18,1.65793,2.81501,1.15773,1.3119,0.69042,0.7054,0.73699,0.41381,0.54741,0.58101,0.47891,0.12421,1.57632,2.47171,1.42304,1.3951,0.001505,0.001505,0.001505
12,8860.92,1.66763,2.8545,1.15872,1.31538,0.86942,0.9198,0.94604,0.64054,0.74446,0.79625,0.7435,0.23859,1.16851,2.10264,0.77372,1.08339,0.0014555,0.0014555,0.0014555
13,9214.29,1.64667,2.75322,1.10942,1.32643,0.89276,0.9509,0.95271,0.63098,0.7689,0.81833,0.75631,0.23844,1.15319,1.8931,0.71978,1.10312,0.001406,0.001406,0.001406
14,9552.38,1.63894,2.71364,1.08709,1.29748,0.62392,0.84716,0.75152,0.39796,0.52851,0.71849,0.55032,0.15919,1.52671,1.89874,1.13412,1.28028,0.0013565,0.0013565,0.0013565
15,9898.98,1.63701,2.72164,1.08669,1.29872,0.91285,0.9429,0.96476,0.64873,0.80353,0.83672,0.81433,0.27739,1.12304,1.81783,0.6608,1.06911,0.001307,0.001307,0.001307
16,10259.2,1.62212,2.75487,1.0945,1.29804,0.44593,0.53846,0.47415,0.19397,0.29325,0.27232,0.17849,0.03583,2.46494,2.65975,1.69866,2.02978,0.0012575,0.0012575,0.0012575
17,10605.7,1.57864,2.67421,1.03837,1.27295,0.87241,0.92887,0.96213,0.6728,0.78783,0.85106,0.84443,0.29912,1.08434,1.77755,0.67056,1.05161,0.001208,0.001208,0.001208
18,10993.1,1.5823,2.68311,1.05685,1.28128,0.90969,0.95616,0.96997,0.68587,0.82931,0.86743,0.83641,0.30503,1.06906,1.70304,0.58955,1.03368,0.0011585,0.0011585,0.0011585
19,12970.6,1.60026,2.67535,1.05984,1.28297,0.93321,0.94272,0.9708,0.68174,0.87711,0.87607,0.87226,0.32963,1.09163,1.67504,0.59812,1.04692,0.001109,0.001109,0.001109
20,13442.3,1.57965,2.64734,1.04472,1.26779,0.88868,0.89853,0.95307,0.6479,0.76446,0.78086,0.76432,0.24587,1.13321,1.9038,0.73121,1.07418,0.0010595,0.0010595,0.0010595
21,13907.7,1.53147,2.58924,1.0127,1.24424,0.91859,0.96025,0.97176,0.68197,0.84657,0.88497,0.86705,0.33079,1.03739,1.69172,0.62212,1.03046,0.00101,0.00101,0.00101
22,14331.1,1.55674,2.59099,1.04839,1.26557,0.89012,0.95581,0.9641,0.66566,0.82678,0.87889,0.86324,0.31947,1.10397,1.64263,0.63173,1.0689,0.0009605,0.0009605,0.0009605
23,14803.7,1.53243,2.56304,1.01362,1.25099,0.89135,0.95254,0.97175,0.67283,0.78002,0.84147,0.79178,0.26381,1.09033,1.80784,0.63432,1.04793,0.000911,0.000911,0.000911
24,15245.5,1.4997,2.50504,0.99841,1.24672,0.7993,0.91905,0.92525,0.60618,0.67962,0.80524,0.72352,0.23061,1.27325,1.8282,0.73515,1.13088,0.0008615,0.0008615,0.0008615
25,15595,1.55267,2.58321,1.03949,1.2577,0.92386,0.95908,0.98081,0.70847,0.8626,0.89394,0.89602,0.36678,1.03667,1.66083,0.54552,1.02451,0.000812,0.000812,0.000812
26,16060.1,1.51607,2.55925,0.97632,1.24286,0.88749,0.95531,0.96459,0.67678,0.81286,0.87442,0.85529,0.32275,1.07543,1.64141,0.63119,1.0484,0.0007625,0.0007625,0.0007625
27,16475.3,1.52233,2.56873,1.01846,1.25877,0.92629,0.96399,0.97874,0.70601,0.85028,0.88304,0.87897,0.34109,1.01831,1.69516,0.55504,1.02021,0.000713,0.000713,0.000713
28,16889.3,1.47183,2.48196,0.98077,1.22272,0.89897,0.95417,0.97297,0.68795,0.82391,0.88052,0.86586,0.32013,1.10198,1.67066,0.5948,1.05268,0.0006635,0.0006635,0.0006635
29,17320,1.44959,2.43024,0.9512,1.1977,0.91471,0.97872,0.97931,0.70357,0.84587,0.90507,0.88396,0.33367,1.04381,1.6167,0.56164,1.0287,0.000614,0.000614,0.000614
30,17733.4,1.43655,2.4653,0.95015,1.20504,0.94305,0.97576,0.98033,0.70629,0.89393,0.92414,0.90943,0.36035,1.01104,1.569,0.55206,1.0168,0.0005645,0.0005645,0.0005645
31,18163.9,1.44885,2.40986,0.93912,1.23418,0.9473,0.97082,0.9775,0.70885,0.88171,0.90016,0.89412,0.36697,1.01899,1.58552,0.54079,1.01717,0.000515,0.000515,0.000515
32,18494.3,1.39502,2.34318,0.91315,1.21498,0.89973,0.96929,0.97271,0.70621,0.83283,0.89694,0.87011,0.33604,1.0175,1.65036,0.55985,1.01426,0.0004655,0.0004655,0.0004655
33,18829.2,1.40605,2.33436,0.91178,1.2159,0.92095,0.9509,0.9728,0.70141,0.84838,0.8707,0.87173,0.33715,1.04367,1.64666,0.55926,1.01284,0.000416,0.000416,0.000416
34,19140.8,1.37391,2.29745,0.89015,1.20382,0.92077,0.98036,0.98107,0.71284,0.85428,0.90998,0.88493,0.35146,1.00553,1.5967,0.52283,1.00953,0.0003665,0.0003665,0.0003665
35,19481.5,1.36613,2.2776,0.87529,1.20147,0.94941,0.97872,0.98446,0.72678,0.88697,0.91489,0.90708,0.37646,0.99228,1.55158,0.49913,0.99825,0.000317,0.000317,0.000317
36,19802.6,1.34892,2.27388,0.87815,1.183,0.94043,0.98178,0.98102,0.72421,0.89486,0.93453,0.91895,0.40101,0.97671,1.51995,0.50111,0.99809,0.0002675,0.0002675,0.0002675
37,20160.6,1.34537,2.23679,0.86053,1.18747,0.93567,0.97594,0.98181,0.71597,0.87416,0.90998,0.8939,0.35572,1.0237,1.62058,0.53076,1.01325,0.000218,0.000218,0.000218
38,20502.6,1.32607,2.22361,0.84968,1.17704,0.94283,0.97545,0.98444,0.71917,0.88469,0.9018,0.9003,0.36249,1.01689,1.5759,0.52129,1.01091,0.0001685,0.0001685,0.0001685
39,20808.4,1.32779,2.23052,0.84518,1.17711,0.94204,0.98422,0.98301,0.71748,0.88799,0.92471,0.90749,0.36992,1.0171,1.54684,0.5124,1.01305,0.000119,0.000119,0.000119
40,21110.9,1.32974,2.24216,0.86263,1.18529,0.94919,0.98036,0.98238,0.72358,0.89347,0.91967,0.90444,0.37075,1.01141,1.55872,0.50352,1.00919,6.95e-05,6.95e-05,6.95e-05
